Name,Age,Education,Skills,Interests,Recommended_Career
John Doe,28,Bachelor's,"python, data analysis, machine learning","technology, data science",Data Scientist
Jane Smith,32,Master's,"java, system design, cloud computing","software development, ai",Software Engineer
Bob Johnson,24,Bachelor's,"graphic design, ui, ux, adobe creative suite","arts, digital media",UX Designer
Emily Davis,26,Bachelor's,"python, deep learning, statistics","healthcare, ai",AI Researcher
Michael Brown,30,Master's,"project management, communication, agile","business, management",Project Manager
Sarah Wilson,27,Bachelor's,"c++, embedded systems, iot","electronics, automation",Embedded Systems Engineer
David Lee,35,Master's,"sql, data warehousing, etl","finance, analytics",Data Analyst
Laura Martinez,29,Bachelor's,"content writing, seo, social media","marketing, communications",Digital Marketer
Kevin White,31,Bachelor's,"python, natural language processing, machine learning","linguistics, technology",NLP Engineer
Karen Thompson,33,Master's,"financial analysis, excel, econometrics","finance, data analysis",Financial Analyst
Richard Anderson,40,PhD,"research, statistical analysis, python","academia, biotech",Research Scientist
Jessica Taylor,22,Bachelor's,"html, css, javascript","web development, design",Front-end Developer
Daniel Moore,26,Bachelor's,"java, algorithms, data structures","software engineering, coding",Software Developer
Olivia Jackson,28,Master's,"data visualization, python, r","data analysis, statistics",Data Analyst
William Martin,34,Master's,"machine learning, big data, python","technology, innovation",Machine Learning Engineer
Sophia Lee,30,Bachelor's,"digital marketing, content creation, seo","marketing, social media",Digital Marketer
James Perez,29,Bachelor's,"python, data mining, statistics","data science, finance",Data Scientist
Ava Thompson,25,Bachelor's,"c#, .net, software design","technology, gaming",Software Developer
Henry Gonzalez,31,Master's,"project management, risk analysis, negotiation","business, management",Project Manager
Mia Robinson,27,Bachelor's,"user research, ux design, prototyping","design, technology",UX Designer
Ethan Clark,24,Bachelor's,"python, data analysis, sql","finance, analytics",Data Analyst
Isabella Rodriguez,28,Master's,"marketing strategy, digital marketing, crm","marketing, business",Marketing Manager
Liam Lewis,26,Bachelor's,"javascript, react, node.js","web development, technology",Full Stack Developer
Chloe Walker,32,Master's,"data science, machine learning, python","healthcare, ai",AI Specialist
Noah Hall,35,Bachelor's,"network security, linux, python","cybersecurity, technology",Cybersecurity Analyst
Emma Allen,29,Master's,"python, statistics, data mining","academia, research",Research Analyst
